edition	version	module	ordinal	name
classic	1.00	Bnclient.dll	1	QueryInterface
classic	1.00_Beta	Bnclient.dll	1	QueryInterface
classic	1.01	Bnclient.dll	1	QueryInterface
classic	1.02	Bnclient.dll	1	QueryInterface
classic	1.03	Bnclient.dll	1	QueryInterface
classic	1.04b	Bnclient.dll	1	??4BNGatewayAccess@@QAEAAV0@ABV0@@Z
classic	1.04b	Bnclient.dll	2	?CurGateway@BNGatewayAccess@@QAGHXZ
classic	1.04b	Bnclient.dll	3	?DNS@BNGatewayAccess@@QAGPADH@Z
classic	1.04b	Bnclient.dll	4	?FindKey@BNGatewayAccess@@AAEPADPAD0@Z
classic	1.04b	Bnclient.dll	5	?FindSection@BNGatewayAccess@@AAEPADPAD0@Z
classic	1.04b	Bnclient.dll	6	?GMT@BNGatewayAccess@@QAGHH@Z
classic	1.04b	Bnclient.dll	7	?GetBattlenetGatewayList@BNGatewayAccess@@AAEXXZ
classic	1.04b	Bnclient.dll	8	?GetBattlenetRealmsList@BNGatewayAccess@@AAEXXZ
classic	1.04b	Bnclient.dll	9	?GetGatewayList@BNGatewayAccess@@AAEXPBD@Z
classic	1.04b	Bnclient.dll	10	?GetSystemTimeZone@BNGatewayAccess@@AAEHXZ
classic	1.04b	Bnclient.dll	11	?Load@BNGatewayAccess@@QAGXXZ
classic	1.04b	Bnclient.dll	12	?Name@BNGatewayAccess@@QAGPADH@Z
classic	1.04b	Bnclient.dll	13	?Nth@BNGatewayAccess@@AAEPADH@Z
classic	1.04b	Bnclient.dll	14	?NumGateways@BNGatewayAccess@@QAGHXZ
classic	1.04b	Bnclient.dll	15	?PickClosestZone@BNGatewayAccess@@AAEXH@Z
classic	1.04b	Bnclient.dll	16	?Realm@BNGatewayAccess@@QAGPADH@Z
classic	1.04b	Bnclient.dll	17	?SetCurGateway@BNGatewayAccess@@QAGXH@Z
classic	1.04b	Bnclient.dll	18	?SkipEOL@BNGatewayAccess@@AAEPADPAD0@Z
classic	1.04b	Bnclient.dll	19	?SkipToEOL@BNGatewayAccess@@AAEPADPAD0@Z
classic	1.04b	Bnclient.dll	20	?Unload@BNGatewayAccess@@QAGXXZ
classic	1.04b	Bnclient.dll	21	?UpdateGatewaysFromIni@BNGatewayAccess@@QAGXPAD@Z
classic	1.04b	Bnclient.dll	22	?WriteDefaultGatewayList@BNGatewayAccess@@AAEXXZ
classic	1.04b	Bnclient.dll	23	QueryInterface
classic	1.04c	Bnclient.dll	1	??4BNGatewayAccess@@QAEAAV0@ABV0@@Z
classic	1.04c	Bnclient.dll	2	?CurGateway@BNGatewayAccess@@QAGHXZ
classic	1.04c	Bnclient.dll	3	?DNS@BNGatewayAccess@@QAGPADH@Z
classic	1.04c	Bnclient.dll	4	?FindKey@BNGatewayAccess@@AAEPADPAD0@Z
classic	1.04c	Bnclient.dll	5	?FindSection@BNGatewayAccess@@AAEPADPAD0@Z
classic	1.04c	Bnclient.dll	6	?GMT@BNGatewayAccess@@QAGHH@Z
classic	1.04c	Bnclient.dll	7	?GetBattlenetGatewayList@BNGatewayAccess@@AAEXXZ
classic	1.04c	Bnclient.dll	8	?GetBattlenetRealmsList@BNGatewayAccess@@AAEXXZ
classic	1.04c	Bnclient.dll	9	?GetGatewayList@BNGatewayAccess@@AAEXPBD@Z
classic	1.04c	Bnclient.dll	10	?GetSystemTimeZone@BNGatewayAccess@@AAEHXZ
classic	1.04c	Bnclient.dll	11	?Load@BNGatewayAccess@@QAGXXZ
classic	1.04c	Bnclient.dll	12	?Name@BNGatewayAccess@@QAGPADH@Z
classic	1.04c	Bnclient.dll	13	?Nth@BNGatewayAccess@@AAEPADH@Z
classic	1.04c	Bnclient.dll	14	?NumGateways@BNGatewayAccess@@QAGHXZ
classic	1.04c	Bnclient.dll	15	?PickClosestZone@BNGatewayAccess@@AAEXH@Z
classic	1.04c	Bnclient.dll	16	?Realm@BNGatewayAccess@@QAGPADH@Z
classic	1.04c	Bnclient.dll	17	?SetCurGateway@BNGatewayAccess@@QAGXH@Z
