edition	version	module	symsrv_key	pdb_path
classic	1.04b	Bnclient.dll	3A3B5E401	C:\D2\Release\Bnclient.pdb
classic	1.04b	D2CMP.dll	3A3B5C9A1	C:\D2\Release\D2CMP.pdb
classic	1.04b	D2Client.dll	3A3B5E1A1	C:\D2\Release\D2Client.pdb
classic	1.04b	D2Common.dll	3A3B5CE51	C:\D2\Release\D2Common.pdb
classic	1.04b	D2DDraw.dll	3A3B5E2A1	C:\D2\Release\D2DDraw.pdb
classic	1.04b	D2Direct3D.dll	3A3B5E301	C:\D2\Release\D2Direct3D.pdb
classic	1.04b	D2Game.dll	3A3B5D511	C:\D2\Release\D2Game.pdb
classic	1.04b	D2Gdi.dll	3A3B5E341	C:\D2\Release\D2Gdi.pdb
classic	1.04b	D2Glide.dll	3A3B5E3A1	C:\D2\Release\D2Glide.pdb
classic	1.04b	D2Lang.dll	3A3B5C9F1	C:\D2\Release\D2Lang.pdb
classic	1.04b	D2Launch.dll	3A3B5E4A1	C:\D2\Release\D2Launch.pdb
classic	1.04b	D2MCPClient.dll	3A3B5D5D1	C:\D2\Release\D2MCPClient.pdb
classic	1.04b	D2Multi.dll	3A3B5E521	C:\D2\Release\D2Multi.pdb
classic	1.04b	D2Net.dll	3A3B5CEC1	C:\D2\Release\D2Net.pdb
classic	1.04b	D2Sound.dll	3A3B5D601	C:\D2\Release\D2Sound.pdb
classic	1.04b	D2Win.dll	3A3B5D6C1	C:\D2\Release\D2Win.pdb
classic	1.04b	D2gfx.dll	3A3B5D5A1	C:\D2\Release\D2gfx.pdb
classic	1.04b	Fog.dll	3A3B5C921	C:\D2\Release\Fog.pdb
classic	1.04b	Storm.dll	3A39BE2D1	C:\D2\Release\Storm.pdb
classic	1.04c	Bnclient.dll	3A3B5E401	C:\D2\Release\Bnclient.pdb
classic	1.04c	D2CMP.dll	3A3B5C9A1	C:\D2\Release\D2CMP.pdb
classic	1.04c	D2Client.dll	3A3B5E1A1	C:\D2\Release\D2Client.pdb
classic	1.04c	D2Common.dll	3A3B5CE51	C:\D2\Release\D2Common.pdb
classic	1.04c	D2DDraw.dll	3A3B5E2A1	C:\D2\Release\D2DDraw.pdb
classic	1.04c	D2Direct3D.dll	3A3B5E301	C:\D2\Release\D2Direct3D.pdb
classic	1.04c	D2Game.dll	3A3B5D511	C:\D2\Release\D2Game.pdb
classic	1.04c	D2Gdi.dll	3A3B5E341	C:\D2\Release\D2Gdi.pdb
classic	1.04c	D2Glide.dll	3A3B5E3A1	C:\D2\Release\D2Glide.pdb
