ordinal	entry_rva_stormd	entry_rva_storm	source_file	evidence	confidence	proposed_name	notes
101	0x2879	0x1e1d0	SNET.CPP	56-byte wrapper that tail-calls ord 138 SNetCreateLadderGame	medium	SNetCreateGame	Non-ladder entry point in front of the ladder variant
102	0x200e	0x1e9e0	SNET.CPP	SLOG trace string "SNetDestroy()"	high	SNetDestroy	
103	0x146f	0x1f2e0	SNET.CPP	trace "SNetEnumDevices(0x%08x)"; asserts callback; logs spiLockDeviceList/spiUnlockDeviceList	high	SNetEnumDevices	
104	0x11b3	0x1f420	SNET.CPP	trace "SNetEnumGames(0x%08x,0x%08x,0x%08x,*hintnextcall)"	high	SNetEnumGames	
105	0x128f	0x1f790	SNET.CPP	trace "SNetEnumProviders(mincaps,0x%08x)"; assert (!mincaps) || (mincaps->size == sizeof(SNETCAPS))	high	SNetEnumProviders	
106	0x233d	0x1ed00	SNET.CPP	trace "SNetDropPlayer(%u,0x%08x)"	high	SNetDropPlayer	
107	0x146a	0x1fdd0	SNET.CPP	trace "SNetGetGameInfo(%u,0x%08x,%u,*byteswritten)"	high	SNetGetGameInfo	
108	0x20a9	0x1ff30	SNET.CPP	trace "SNetGetNetworkLatency(%u,*result)"; asserts measurementtype >= 1 && <= 4	high	SNetGetNetworkLatency	
109	0x274d	0x20020	SNET.CPP	trace "SNetGetNumPlayers(*firstplayerid,*lastplayerid,*activeplayers)"	high	SNetGetNumPlayers	
110	0x2a36	0x20150	SNET.CPP	trace "SNetGetOwnerTurnsWaiting(*turns)"	high	SNetGetOwnerTurnsWaiting	
111	0x23fb	0x20840	SNET.CPP	trace "SNetGetPerformanceData(%u,*countervalue,*countertype,...)"; assert counterid < 16	high	SNetGetPerformanceData	
112	0x2261	0x20930	SNET.CPP	trace "SNetGetPlayerCaps(%u,*caps)"; assert caps->size == sizeof(SNETCAPS)	high	SNetGetPlayerCaps	
113	0x222a	0x20a50	SNET.CPP	trace "SNetGetPlayerName(%u,0x%08x,%u)"	high	SNetGetPlayerName	
114	0x130c	0x20b40	SNET.CPP	trace "SNetGetProviderCaps(*caps)"	high	SNetGetProviderCaps	
115	0x2036	0x20be0	SNET.CPP	trace "SNetGetTurnsInTransit(*turns)"	high	SNetGetTurnsInTransit	
116	0x283d	0x20cb0	SNET.CPP	trace "SNetInitializeDevice(0x%08x,0x%08x,0x%08x,0x%08x,0x%08x)"	high	SNetInitializeDevice	
117	0x114a	0x20fd0	SNET.CPP	trace "SNetInitializeProvider(...)"; also logs "(using Storm build Apr 14 2001 10:46:42)"	high	SNetInitializeProvider	Build stamp dates this Storm to 2001-04-14
118	0x277a	0x231b0	SNET.CPP	trace "SNetJoinGame(0x%08x,\"%s\",\"%s\",\"%s\",\"%s\",*playerid)"	high	SNetJoinGame	
119	0x2770	0x23850	SNET.CPP	trace "SNetLeaveGame(0x%08x)"; logs spiStopAdvertisingGame()	high	SNetLeaveGame	
120	0x27d4	0x23a50	SNET.CPP	trace "SNetPerformUpgrade(*upgradestatus)"; strings Patches/Patch/Prepatch.lst	high	SNetPerformUpgrade	
121	0x1460	0x24210	SNET.CPP	trace "SNetReceiveMessage(*senderplayerid,*data,*databytes)"	high	SNetReceiveMessage	
